01:58:16.937 [INFO] (Log) Diplomacy & Intrigue 0.1.0 log opened.
01:58:16.945 [INFO] (SubModule) OnSubModuleLoad begin. host=Bannerlord.BLSE.Standalone modules=[Bannerlord.Harmony,Bannerlord.ButterLib,Bannerlord.UIExtenderEx,Bannerlord.MBOptionScreen,Bannerlord.GABS,Native,SandBoxCore,CustomBattle,Sandbox,StoryMode,DiplomacyIntrigue]
01:58:17.057 [INFO] (UI) Kingdom screen extensions registered.
01:58:17.058 [INFO] (SubModule) OnSubModuleLoad complete. Harmony patches applied.
01:58:20.981 [INFO] (Notify) Diplomacy & Intrigue v0.1.0 loaded. Press Ctrl+D on the map.
01:58:23.417 [INFO] (SubModule) Game models registered: kingdom decisions, peace, alliances, trade agreements, armies.
01:58:23.418 [INFO] (SubModule) Campaign behaviors registered.
01:58:24.575 [INFO] (State) Loaded: 1 treaties, 4 war records, 0 weariness entries, 0 claims, 120 fief records, 8 trust records, 0 grievances, 0 legitimacy pools, 0 pretenders, 0 internal wars, 0 spy networks, 0 spy missions, 0 counter-intelligence budgets, schema v4.
01:58:27.521 [INFO] (Core) Session launched.
01:58:27.523 [INFO] (Telemetry) [RUN] day=91079 date=Summer_3;_1084 mod=0.1.0 built=2026-09-26_01:51:38 schema=4 aggressiveness=1 exhaustionRate=1 statecraft=true player=Gavalon playerKingdom=none kingdoms=Northern_Empire;Khuzait;Western_Empire;Battania;Southern_Empire;Aserai;Sturgia;Vlandia
01:58:27.523 [INFO] (Telemetry) [CONFIG] ExhaustionPerDayAtWar=0.3
01:58:27.523 [INFO] (Telemetry) [CONFIG] ExhaustionCasualtyStrengthDivisor=20
01:58:27.523 [INFO] (Telemetry) [CONFIG] ExhaustionCasualtyMinDivisor=1
01:58:27.523 [INFO] (Telemetry) [CONFIG] ExhaustionPerTownLost=6
01:58:27.523 [INFO] (Telemetry) [CONFIG] ExhaustionPerCastleLost=3
01:58:27.523 [INFO] (Telemetry) [CONFIG] ExhaustionPerVillageRaided=1
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionPerDayUnderSiege=0.15
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionPerDayPerOccupiedFief=0.02
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionMin=0
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionMax=100
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionCourtPressure=40
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionSeekPeace=60
01:58:27.524 [INFO] (Telemetry) [CONFIG] ExhaustionAcceptBadTerms=80
01:58:27.524 [INFO] (Telemetry) [CONFIG] LoyaltyPenaltyWhenBroken=-1
01:58:27.524 [INFO] (Telemetry) [CONFIG] WearinessCarryOverMinimum=10
01:58:27.524 [INFO] (Telemetry) [CONFIG] WearinessCarryOverFraction=0.5
01:58:27.524 [INFO] (Telemetry) [CONFIG] WearinessDecayFractionPerDay=0.02
01:58:27.525 [INFO] (Telemetry) [CONFIG] WearinessDecayMinimumPerDay=0.05
01:58:27.525 [INFO] (Telemetry) [CONFIG] WearinessMax=100
01:58:27.525 [INFO] (Telemetry) [CONFIG] WarScoreBattleFactor=6
01:58:27.525 [INFO] (Telemetry) [CONFIG] WarScoreBattleMinTotal=100
01:58:27.525 [INFO] (Telemetry) [CONFIG] WarScoreBattleMin=1
01:58:27.525 [INFO] (Telemetry) [CONFIG] WarScoreBattleMax=8
01:58:27.525 [INFO] (Telemetry) [CONFIG] WarScorePerTownCaptured=12
01:58:27.525 [INFO] (Telemetry) [CONFIG] WarScorePerCastleCaptured=6
